"coded_run","cooccur","fit","fitfilt","mu","run","sim","run_name","sym"
"3","45","'-1.21","0","'-0.29","EnvEvenSp20","0","EnvEvenSp20","0"
"3","40","'-0.59","0","'-0.47","EnvEvenSp20","0","EnvEvenSp20","0"
"3","70","0.33","0.33","0.03","EnvEvenSp20","0","EnvEvenSp20","0"
"3","38","'-0.91","0","'-0.49","EnvEvenSp20","0","EnvEvenSp20","0"
"3","44","'-1.14","0","'-0.25","EnvEvenSp20","0","EnvEvenSp20","0"
"3","50","'-0.74","0","'-0.07","EnvEvenSp20","0","EnvEvenSp20","0"
"3","52","'-0.78","0","'-0.07","EnvEvenSp20","0","EnvEvenSp20","0"
"3","61","'-0.24","0","0.11","EnvEvenSp20","0","EnvEvenSp20","0"
"3","64","'-0.19","0","0.03","EnvEvenSp20","0","EnvEvenSp20","0"
"3","14","'-0.35","0","'-1.9","EnvEvenSp20","0","EnvEvenSp20","0"
"3","76","0","0","0.12","EnvEvenSp20","0","EnvEvenSp20","0"
"3","75","'-0.25","'-0.25","0.73","EnvEvenSp20","0","EnvEvenSp20","0"
